,Server,Latency,Jitter,Download,Upload,Packet Loss
Tue Jun 22 16:20:01,Arjuntelecom - Chennai,46.43,12.03,4.66,2.45,0.0
Tue Jun 22 16:22:01,Airtel Broadband - Chennai,42.17,19.96,8.54,1.82,
Tue Jun 22 16:24:01,ACT Fibernet - Chennai,41.68,20.66,4.32,1.95,0.0
Tue Jun 22 16:26:01,Airtel Broadband - Chennai,45.74,17.15,5.31,2.15,
Tue Jun 22 16:28:02,Jio - Chennai,78.07,2.65,4.29,1.46,
Tue Jun 22 16:30:01,Sri Vari Network Private Limited - Chennai,74.63,4.61,7.73,0.52,
Tue Jun 22 16:32:01,Shyam Spectra - Chennai,51.22,12.92,3.96,0.87,0.0
Tue Jun 22 16:34:01,Airtel Broadband - Chennai,41.12,12.01,5.73,0.61,
Tue Jun 22 16:36:01,TataSky Broadband Private Limited - Chennai,78.22,1.40,6.92,0.39,0.0
Tue Jun 22 16:38:01,ACT Fibernet - Chennai,63.75,7.99,6.50,0.57,0.0
Tue Jun 22 16:40:01,TataSky Broadband Private Limited - Chennai,52.20,18.00,6.01,0.90,0.0
Tue Jun 22 16:42:01,ACT Fibernet - Chennai,42.59,21.58,5.37,0.99,0.0
Tue Jun 22 16:44:01,Shyam Spectra - Chennai,43.32,20.13,6.16,0.86,0.0
Tue Jun 22 16:46:01,Cherrinet - K Net Solutions Pvt Ltd - Chennai,78.98,20.94,3.82,0.83,
Tue Jun 22 16:48:01,ACT Fibernet - Chennai,41.01,27.68,5.07,0.94,0.0
Tue Jun 22 16:50:01,ACT Fibernet - Chennai,73.09,6.43,2.38,1.77,0.0
Tue Jun 22 16:52:01,Airgenie - Chennai,43.40,25.88,6.18,1.06,
Tue Jun 22 16:54:01,ACT Fibernet - Chennai,43.34,21.63,5.77,1.29,0.0
Tue Jun 22 16:56:01,Airtel Broadband - Chennai,41.67,19.40,5.70,1.42,
Tue Jun 22 16:58:01,Vi India - Chennai,157.88,1.77,8.50,1.37,1.0
Tue Jun 22 17:00:01,ACT Fibernet - Chennai,157.88,1.37,2.99,1.32,0.3
Tue Jun 22 17:02:01,Airgenie - Chennai,62.49,9.95,4.42,0.80,
Tue Jun 22 17:04:01,Airconnect Fibernet - Chennai,44.80,24.17,3.05,0.98,1.3
Tue Jun 22 17:06:01,Sri Vari Network Private Limited - Chennai,58.70,10.69,7.70,0.72,
Tue Jun 22 17:08:01,Airgenie - Chennai,151.25,7.48,,,
Tue Jun 22 17:10:01,Jio - Chennai,43.76,25.14,6.24,1.08,
Tue Jun 22 17:12:01,TataSky Broadband Private Limited - Chennai,435.64,90.20,2.98,1.49,1.2
Tue Jun 22 17:14:01,Sri Vari Network Private Limited - Chennai,71.40,11.71,3.24,2.08,
Tue Jun 22 17:16:01,Jio - Chennai,46.27,18.96,3.90,2.00,
Tue Jun 22 17:18:01,Airconnect Fibernet - Chennai,150.46,7.27,5.61,1.26,0.3
Tue Jun 22 17:20:01,Airconnect Fibernet - Chennai,77.37,2.66,7.79,1.61,0.0
Tue Jun 22 17:22:01,Shyam Spectra - Chennai,43.32,24.73,5.46,1.63,0.0
Tue Jun 22 17:24:01,Sri Vari Network Private Limited - Chennai,42.87,21.08,6.04,2.17,
Tue Jun 22 17:26:01,Airconnect Fibernet - Chennai,40.72,28.43,7.27,2.12,0.0
Tue Jun 22 17:28:01,Jio - Chennai,47.86,15.51,8.36,1.72,
Tue Jun 22 17:30:01,Airtel Broadband - Chennai,42.92,26.41,5.93,1.80,
Tue Jun 22 17:32:01,Shyam Spectra - Chennai,77.05,2.46,3.90,1.98,0.0
Tue Jun 22 17:34:01,Airconnect Fibernet - Chennai,114.10,269.68,4.67,1.52,0.3
Tue Jun 22 17:36:01,Jio - Chennai,49.98,19.88,6.00,1.65,
Tue Jun 22 17:38:01,Airtel Broadband - Chennai,38.71,21.14,7.89,2.16,
Tue Jun 22 17:40:01,Airconnect Fibernet - Chennai,76.34,4.99,5.96,1.07,0.5
Tue Jun 22 17:42:01,ACT Fibernet - Chennai,76.58,18.46,6.62,1.43,0.0
Tue Jun 22 17:44:01,ACT Fibernet - Chennai,49.18,23.62,6.36,1.66,0.0
Tue Jun 22 17:46:01,ACT Fibernet - Chennai,50.14,15.48,2.80,1.79,0.0
Tue Jun 22 17:48:01,ACT Fibernet - Chennai,39.90,21.55,2.47,1.72,14.1
Tue Jun 22 17:50:01,Airgenie - Chennai,40.30,23.54,4.12,1.84,
Tue Jun 22 17:52:01,,,,,,
Tue Jun 22 17:54:01,Airconnect Fibernet - Chennai,42.38,15.18,6.09,1.89,1.0
Tue Jun 22 17:56:01,Cherrinet - K Net Solutions Pvt Ltd - Chennai,41.26,19.03,4.19,1.64,
Tue Jun 22 17:58:01,Sri Vari Network Private Limited - Chennai,42.52,23.50,3.74,1.96,
Tue Jun 22 18:00:01,Airconnect Fibernet - Chennai,151.66,6.70,4.46,2.04,0.8
Tue Jun 22 18:02:01,ACT Fibernet - Chennai,41.78,51.00,6.38,1.67,0.0
Tue Jun 22 18:04:01,Airgenie - Chennai,41.24,20.67,4.80,2.17,
Tue Jun 22 18:06:01,ACT Fibernet - Chennai,155.34,6.61,,,
Tue Jun 22 18:08:01,TataSky Broadband Private Limited - Chennai,40.77,31.39,3.31,2.04,0.0
Tue Jun 22 18:10:01,Airgenie - Chennai,57.78,11.41,7.86,1.93,
Tue Jun 22 18:12:01,ACT Fibernet - Chennai,56.01,13.60,6.88,0.57,0.0
Tue Jun 22 18:14:01,Airconnect Fibernet - Chennai,41.26,14.91,9.55,1.63,0.0
Tue Jun 22 18:16:01,Airtel Broadband - Chennai,63.83,4.88,7.87,1.57,
Tue Jun 22 18:18:01,TataSky Broadband Private Limited - Chennai,50.44,23.85,7.70,1.85,0.0
Tue Jun 22 18:20:01,Cherrinet - K Net Solutions Pvt Ltd - Chennai,57.26,8.78,1.07,1.43,
Tue Jun 22 18:22:01,Airconnect Fibernet - Chennai,153.35,26.59,2.60,1.89,0.0
Tue Jun 22 18:24:01,Airgenie - Chennai,53.23,13.86,2.54,1.87,
Tue Jun 22 18:26:01,Jio - Chennai,46.09,15.41,3.04,1.60,
Tue Jun 22 18:28:01,Sri Vari Network Private Limited - Chennai,40.81,25.21,3.67,1.85,
Tue Jun 22 18:30:01,ACT Fibernet - Chennai,157.40,2.49,,,
Tue Jun 22 18:32:01,Shyam Spectra - Chennai,74.78,4.37,4.62,1.30,0.0
Tue Jun 22 18:34:01,Airtel Broadband - Chennai,51.06,13.62,2.92,1.37,
Tue Jun 22 18:36:01,Shyam Spectra - Chennai,150.42,14.00,1.90,1.81,0.0
Tue Jun 22 18:38:01,Airconnect Fibernet - Chennai,43.36,156.30,4.20,1.93,0.0
Tue Jun 22 18:40:01,Arjuntelecom - Chennai,150.71,14.64,4.21,2.13,0.3
Tue Jun 22 18:42:01,Airgenie - Chennai,43.20,22.58,2.14,1.67,
Tue Jun 22 18:44:01,TataSky Broadband Private Limited - Chennai,46.61,15.73,4.21,2.23,0.0
Tue Jun 22 18:46:01,Cherrinet - K Net Solutions Pvt Ltd - Chennai,41.10,17.16,1.47,2.04,
Tue Jun 22 18:48:01,Airconnect Fibernet - Chennai,41.60,22.68,4.98,2.35,0.0
Tue Jun 22 18:50:01,TataSky Broadband Private Limited - Chennai,41.25,22.42,3.89,2.21,0.0
Tue Jun 22 18:52:01,ACT Fibernet - Chennai,156.67,2.56,1.07,2.35,0.0
Tue Jun 22 18:54:01,Airconnect Fibernet - Chennai,42.33,24.20,7.26,1.57,0.0
Tue Jun 22 18:56:01,Shyam Spectra - Chennai,45.39,20.11,3.04,2.22,5.7
Tue Jun 22 18:58:01,Airgenie - Chennai,39.79,20.58,1.83,1.86,
Tue Jun 22 19:00:01,ACT Fibernet - Chennai,44.91,20.40,7.82,2.25,0.0
Tue Jun 22 19:02:01,ACT Fibernet - Chennai,43.17,31.23,4.93,2.13,0.0
Tue Jun 22 19:04:01,Cherrinet - K Net Solutions Pvt Ltd - Chennai,67.44,15.02,7.03,2.13,
Tue Jun 22 19:06:01,ACT Fibernet - Chennai,43.49,24.73,1.43,2.16,0.0
Tue Jun 22 19:08:01,Airtel Broadband - Chennai,39.82,24.01,3.15,1.83,
Tue Jun 22 19:10:01,TataSky Broadband Private Limited - Chennai,44.37,20.16,2.48,1.84,0.0
Tue Jun 22 19:12:01,ACT Fibernet - Chennai,42.73,31.40,3.55,1.86,5.7
Tue Jun 22 19:14:01,Shyam Spectra - Chennai,69.45,7.50,4.87,1.02,0.0
Tue Jun 22 19:16:01,TataSky Broadband Private Limited - Chennai,40.03,24.22,1.56,0.46,0.0
Tue Jun 22 19:18:01,Sri Vari Network Private Limited - Chennai,73.83,7.48,1.09,0.79,
Tue Jun 22 19:20:01,Sri Vari Network Private Limited - Chennai,42.15,24.09,1.57,1.30,
Tue Jun 22 19:22:01,ACT Fibernet - Chennai,45.22,19.40,2.13,0.85,0.0
Tue Jun 22 19:24:01,Cherrinet - K Net Solutions Pvt Ltd - Chennai,158.21,4.06,,,
Tue Jun 22 19:26:01,Airgenie - Chennai,51.19,11.56,2.19,1.41,
Tue Jun 22 19:28:01,Sri Vari Network Private Limited - Chennai,65.16,11.98,6.49,1.44,
Tue Jun 22 19:30:01,,,,,,
Tue Jun 22 19:32:01,Cherrinet - K Net Solutions Pvt Ltd - Chennai,152.87,7.06,1.03,1.15,
Tue Jun 22 19:34:01,Airtel Broadband - Chennai,43.60,17.28,4.90,1.62,
Tue Jun 22 19:36:01,Sri Vari Network Private Limited - Chennai,49.38,16.34,7.24,1.25,
Tue Jun 22 19:38:01,Jio - Chennai,50.29,13.93,3.54,1.50,
Tue Jun 22 19:40:01,ACT Fibernet - Chennai,41.94,15.19,0.89,1.48,0.0
Tue Jun 22 19:42:01,Jio - Chennai,78.76,1.11,1.43,1.46,
Tue Jun 22 19:44:01,Shyam Spectra - Chennai,40.32,24.11,0.96,1.64,0.0
Tue Jun 22 19:46:01,ACT Fibernet - Chennai,159.32,0.70,2.10,1.86,5.0
Tue Jun 22 19:48:01,Airgenie - Chennai,56.59,9.59,0.96,2.00,
Tue Jun 22 19:50:01,Shyam Spectra - Chennai,44.12,24.74,1.01,1.57,0.0
Tue Jun 22 19:52:01,Airtel Broadband - Chennai,41.96,10.35,7.97,1.68,
Tue Jun 22 19:54:01,Airconnect Fibernet - Chennai,43.31,19.41,1.35,1.75,0.0
Tue Jun 22 19:56:01,TataSky Broadband Private Limited - Chennai,41.72,24.21,10.29,2.02,0.0
Tue Jun 22 19:58:01,Airconnect Fibernet - Chennai,50.69,12.72,5.57,2.03,1.1
Tue Jun 22 20:00:01,Airgenie - Chennai,150.56,12.49,2.93,2.10,
Tue Jun 22 20:02:01,TataSky Broadband Private Limited - Chennai,155.37,3.74,4.97,2.10,10.4
Tue Jun 22 20:04:01,TataSky Broadband Private Limited - Chennai,53.87,9.56,9.07,2.32,0.0
Tue Jun 22 20:06:02,Arjuntelecom - Chennai,51.80,7.27,3.97,1.97,0.0
Tue Jun 22 20:08:01,Airconnect Fibernet - Chennai,42.03,21.00,4.70,1.40,2.3
Tue Jun 22 20:10:01,Airgenie - Chennai,58.91,10.92,5.26,1.74,
Tue Jun 22 20:12:01,Airtel Broadband - Chennai,40.56,16.12,5.38,1.68,
Tue Jun 22 20:14:01,Shyam Spectra - Chennai,149.21,12.45,7.58,2.16,0.3
Tue Jun 22 20:16:01,ACT Fibernet - Chennai,41.96,19.52,3.85,2.30,0.0
Tue Jun 22 20:18:01,TataSky Broadband Private Limited - Chennai,41.35,28.24,6.92,1.78,8.0
Tue Jun 22 20:20:01,Cherrinet - K Net Solutions Pvt Ltd - Chennai,42.72,22.06,5.37,1.98,
Tue Jun 22 20:22:01,Cherrinet - K Net Solutions Pvt Ltd - Chennai,40.09,21.49,5.67,1.78,
Tue Jun 22 20:24:01,Sri Vari Network Private Limited - Chennai,43.09,26.14,7.81,2.01,
Tue Jun 22 20:26:01,Airgenie - Chennai,41.25,27.09,7.75,2.07,
Tue Jun 22 20:28:01,Arjuntelecom - Chennai,52.60,7.49,2.31,1.70,0.0
Tue Jun 22 20:30:01,Airtel Broadband - Chennai,43.75,9.86,7.82,1.49,
Tue Jun 22 20:32:01,Cherrinet - K Net Solutions Pvt Ltd - Chennai,42.60,29.72,3.79,1.55,
Tue Jun 22 20:34:01,Jio - Chennai,75.18,6.10,4.02,1.60,
Tue Jun 22 20:36:01,Airtel Broadband - Chennai,53.59,16.64,5.47,1.55,
Tue Jun 22 20:38:01,TataSky Broadband Private Limited - Chennai,41.46,19.28,4.93,1.71,0.0
Tue Jun 22 20:40:01,ACT Fibernet - Chennai,51.12,14.28,5.83,1.58,0.0
Tue Jun 22 20:42:01,Airconnect Fibernet - Chennai,43.12,18.61,7.07,1.59,0.0
Tue Jun 22 20:44:01,Airtel Broadband - Chennai,42.22,20.62,3.17,1.60,
Tue Jun 22 20:46:01,ACT Fibernet - Chennai,75.18,4.07,7.94,1.53,0.3
Tue Jun 22 20:48:01,Airgenie - Chennai,41.85,27.65,4.04,1.79,
Tue Jun 22 20:50:01,Shyam Spectra - Chennai,42.38,20.44,6.42,1.54,0.0
Tue Jun 22 20:52:01,Airtel Broadband - Chennai,43.83,18.81,5.86,1.59,
Tue Jun 22 20:54:01,ACT Fibernet - Chennai,54.50,8.58,10.03,1.49,0.0
Tue Jun 22 20:56:01,Airconnect Fibernet - Chennai,42.87,137.05,9.05,1.41,0.8
Tue Jun 22 20:58:01,Cherrinet - K Net Solutions Pvt Ltd - Chennai,44.46,19.09,8.70,1.60,
Tue Jun 22 21:00:01,Jio - Chennai,43.95,20.08,6.24,1.75,
Tue Jun 22 21:02:01,Cherrinet - K Net Solutions Pvt Ltd - Chennai,59.67,7.70,5.90,1.54,
Tue Jun 22 21:04:01,Airtel Broadband - Chennai,68.98,30.30,4.49,1.46,
Tue Jun 22 21:06:01,Airconnect Fibernet - Chennai,78.00,4.17,4.13,0.93,0.0
Tue Jun 22 21:08:01,ACT Fibernet - Chennai,48.97,17.05,6.73,0.75,0.0
Tue Jun 22 21:10:01,Cherrinet - K Net Solutions Pvt Ltd - Chennai,70.39,5.59,2.87,0.81,
Tue Jun 22 21:12:01,Airtel Broadband - Chennai,72.61,2.82,4.28,0.92,
Tue Jun 22 21:14:01,Sri Vari Network Private Limited - Chennai,79.24,0.68,5.09,0.60,
Tue Jun 22 21:16:01,Airtel Broadband - Chennai,78.92,1.29,1.90,0.67,
Tue Jun 22 21:18:01,Shyam Spectra - Chennai,72.07,7.74,4.49,0.88,0.0
Tue Jun 22 21:20:01,ACT Fibernet - Chennai,57.92,11.61,2.04,0.78,0.0
Tue Jun 22 21:22:01,Jio - Chennai,78.89,1.20,2.49,1.04,
Tue Jun 22 21:24:01,Airtel Broadband - Chennai,41.04,39.83,1.68,0.98,
Tue Jun 22 21:26:01,Airconnect Fibernet - Chennai,71.23,14.11,2.49,0.75,0.7
Tue Jun 22 21:28:01,,,,,,
Tue Jun 22 21:30:01,Sri Vari Network Private Limited - Chennai,37.74,24.76,2.33,1.38,
Tue Jun 22 21:32:01,Shyam Spectra - Chennai,41.98,19.57,1.05,1.56,0.0
Tue Jun 22 21:34:01,Shyam Spectra - Chennai,63.03,16.75,1.67,1.65,0.0
Tue Jun 22 21:36:01,Sri Vari Network Private Limited - Chennai,41.80,28.14,8.32,1.70,
Tue Jun 22 21:38:01,TataSky Broadband Private Limited - Chennai,44.53,17.67,1.14,1.63,0.0
Tue Jun 22 21:40:01,Shyam Spectra - Chennai,45.14,27.33,2.26,1.73,0.0
Tue Jun 22 21:42:01,Shyam Spectra - Chennai,40.16,29.46,1.19,1.80,0.0
Tue Jun 22 21:44:01,Sri Vari Network Private Limited - Chennai,44.50,43.82,3.59,1.63,
Tue Jun 22 21:46:01,Airgenie - Chennai,41.11,21.02,2.74,1.50,
Tue Jun 22 21:48:01,ACT Fibernet - Chennai,44.34,24.82,2.20,1.48,0.0
Tue Jun 22 21:50:01,Sri Vari Network Private Limited - Chennai,55.36,8.41,5.85,1.42,
Tue Jun 22 21:52:01,Shyam Spectra - Chennai,42.81,25.69,4.13,1.31,0.0
Tue Jun 22 21:54:01,Airtel Broadband - Chennai,51.66,30.76,0.96,1.10,
Tue Jun 22 21:56:01,TataSky Broadband Private Limited - Chennai,68.96,9.42,5.23,1.63,0.0
Tue Jun 22 21:58:01,Airgenie - Chennai,41.97,32.96,2.39,1.85,
Tue Jun 22 22:00:01,Airconnect Fibernet - Chennai,78.48,1.61,4.43,0.73,1.0
Tue Jun 22 22:02:01,Shyam Spectra - Chennai,156.29,2.85,2.44,0.70,0.0
Tue Jun 22 22:04:01,Airtel Broadband - Chennai,42.96,38.61,2.21,0.71,
Tue Jun 22 22:06:01,Airconnect Fibernet - Chennai,78.90,11.09,1.06,0.68,1.3
